item;price;capacity
Exos 7E8 SATA 8 TB (ST8000NM004A);23 435;8000
Exos 7E10 2 TB (ST2000NM017B);3 823;2000
Exos 7E10 2 TB (ST2000NM000B);3 999;2000
Exos 7E10 2 TB (ST2000NM018B);5 142;2000
Exos 7E10 4 TB (ST4000NM025B);5 818;4000
Exos 7E10 4 TB (ST4000NM024B);6 061;4000
Exos 7E10 6 TB (ST6000NM019B);6 540;6000
Exos 7E10 6 TB (ST6000NM020B);7 429;6000
Exos 7E10 6 TB (ST6000NM000B);7 619;6000
Exos 7E10 8 TB (ST8000NM017B);8 628;8000
Exos 7E10 8 TB (ST8000NM018B);8 880;8000
Exos 7E10 10 TB (ST10000NM017B);9 649;10000
"Enterprise Capacity 3.5"" ST1000NM0045";1 193;1000
Enterprise Capacity 3.5 HDD (ST2000NM0008);4 902;2000
Enterprise Capacity ST4000NM0035;6 105;4000
Enterprise Capacity ST1000NX0313;6 601;1000
Enterprise Capacity ST1000NM0055;7 267;1000
Enterprise Capacity 10 TB (ST10000NM0086);8 299;10000
Enterprise Capacity ST2000NM0055;8 729;2000
Enterprise Capacity 3.5 HDD ST3000NM0025;9 589;3000
Enterprise Capacity 3.5 HDD ST8000NM0075;9 842;8000
Enterprise Capacity ST3000NM0005;10 621;3000
Enterprise Capacity 3.5 HDD ST10000NM0016;11 999;10000
Enterprise Capacity 2 TB (ST2000NX0253);12 225;2000
Enterprise Capacity 3.5 HDD ST4000NM0115;13 287;4000
Enterprise Capacity ST6000NM0115;19 221;6000
Enterprise Capacity 3.5 HDD (ST8000NM0016);38 700;8000
NAS HDD ST2000VN000;6 020;2000
NAS HDD ST3000VN000;9 675;3000
NAS HDD ST4000VN000;11 309;4000
NAS HDD ST8000NE0001;23 435;8000
Exos X14 SATA 10 TB (ST10000NM0478);8 299;10000
Exos X14 SATA 12 TB (ST12000NM0008);33 368;12000
N300 4 TB (HDWQ140EZSTA);5 400;4000
N300 8 TB (HDWG480UZSVA);8 934;8000
N300 12 TB (HDWG21CXZSTA);11 556;12000
N300 4TB (HDWQ140UZSVA);13 158;4000
N300 14 TB (HDWG21EUZSVA);13 635;14000
N300 8 TB (HDWG180UZSVA);14 018;8000
N300 6 TB (HDWN160EZSTA);16 469;6000
N300 6 TB (HDWN160UZSVA);18 619;6000
N300 14 TB (HDWG21EXZSTA);18 928;14000
N300 8 TB (HDWN180UZSVA);23 048;8000
N300 8 TB (HDWN180EZSTA);23 048;8000
